timestamp_ms,cmd_mm,fb_mm
0,35.5,35.300000000000004
284,35.5,35.300000000000004
657,35.4,35.300000000000004
942,35.4,35.300000000000004
1227,35.3,35.300000000000004
1514,35.099999999999994,35.300000000000004
1799,34.99999999999999,35.300000000000004
2087,34.89999999999999,35.300000000000004
2380,34.69999999999999,35.300000000000004
2678,34.499999999999986,35.300000000000004
2967,34.399999999999984,35.2
3260,34.29999999999998,35.2
3549,34.09999999999998,35.2
3921,33.99999999999998,35.0
4212,33.799999999999976,35.0
4513,33.59999999999997,35.0
4816,33.39999999999997,34.7
5122,33.29999999999997,34.800000000000004
5428,33.19999999999997,34.7
5736,33.099999999999966,34.7
6047,32.89999999999996,34.6
6356,32.79999999999996,34.6
6661,32.69999999999996,34.6
6970,32.59999999999996,34.6
7280,32.399999999999956,34.6
7663,32.299999999999955,34.6
7976,32.19999999999995,34.5
8289,32.09999999999995,34.5
8597,31.99999999999995,34.4
8907,31.799999999999947,34.300000000000004
9225,31.699999999999946,34.300000000000004
9543,31.599999999999945,34.300000000000004
9855,31.499999999999943,34.300000000000004
10170,31.29999999999994,34.300000000000004
10484,31.19999999999994,34.300000000000004
10797,30.999999999999936,34.300000000000004
11194,30.799999999999933,34.300000000000004
11505,30.699999999999932,34.300000000000004
11819,30.49999999999993,34.300000000000004
12134,30.399999999999928,34.2
12450,30.199999999999925,34.2
12769,30.099999999999923,34.2
13087,29.999999999999922,34.2
13401,29.89999999999992,34.2
13718,29.79999999999992,34.2
14036,29.699999999999918,34.0
14362,29.499999999999915,33.9
14747,29.399999999999913,33.9
15068,29.19999999999991,33.9
15392,29.09999999999991,33.9
15710,28.999999999999908,33.8
16034,28.899999999999906,33.8
16356,28.699999999999903,33.8
16689,28.4999999999999,33.8
17011,28.3999999999999,33.8
17335,28.299999999999898,33.8
17659,28.199999999999896,33.8
17979,27.999999999999893,33.8
18380,27.899999999999892,33.7
18704,27.79999999999989,33.6
19028,27.899999999999892,33.6
19352,28.099999999999895,33.6
19675,28.299999999999898,33.6
20000,28.3999999999999,33.6
20322,28.4999999999999,33.6
20650,28.599999999999902,33.6
20980,28.699999999999903,33.6
21309,28.799999999999905,33.6
21644,28.999999999999908,33.6
22039,29.09999999999991,33.6
22361,29.299999999999912,33.6
22687,29.499999999999915,33.6
23016,29.699999999999918,33.6
23346,29.89999999999992,33.6
23666,29.999999999999922,33.6
23990,30.099999999999923,33.6
24315,30.299999999999926,33.7
24636,30.49999999999993,33.7
24961,30.59999999999993,33.7
25280,30.699999999999932,33.7
25600,30.899999999999935,33.7
25995,30.999999999999936,33.7
26321,31.19999999999994,33.8
26648,31.39999999999994,33.8
26968,31.499999999999943,33.8
27293,31.599999999999945,33.8
27613,31.699999999999946,33.8
27940,31.89999999999995,33.8
28261,31.99999999999995,33.9
28586,32.09999999999995,34.1
28911,32.299999999999955,34.1
29317,32.399999999999956,34.1
29646,32.59999999999996,34.2
29960,32.69999999999996,34.2
30275,32.79999999999996,34.2
30603,32.89999999999996,34.2
30914,32.999999999999964,34.2
31227,33.19999999999997,34.300000000000004
31542,33.29999999999997,34.300000000000004
31857,33.49999999999997,34.300000000000004
32177,33.59999999999997,34.300000000000004
32493,33.699999999999974,34.300000000000004
32891,33.799999999999976,34.4
33204,33.89999999999998,34.4
33514,34.09999999999998,34.5
33830,34.19999999999998,34.5
34138,34.399999999999984,34.6
34445,34.499999999999986,34.6
34754,34.59999999999999,34.6
35077,34.69999999999999,34.7
35385,34.79999999999999,34.7
35703,34.89999999999999,34.800000000000004
36009,35.099999999999994,35.0
36393,35.3,35.2
36689,35.5,35.2
36986,35.6,35.300000000000004
37276,35.7,35.300000000000004
37565,35.900000000000006,35.4
37847,36.00000000000001,35.4
38139,36.00000000000001,35.4
38424,36.00000000000001,35.4
38709,36.00000000000001,35.4
38988,36.10000000000001,35.4
39268,36.10000000000001,35.5
39626,36.10000000000001,35.5
39906,36.10000000000001,35.5
40187,36.10000000000001,35.5
40465,36.10000000000001,35.5
