timestamp_ms,cmd_mm,fb_mm
0,35.5,35.4
276,35.5,35.4
557,35.4,35.4
843,35.4,35.4
1127,35.199999999999996,35.4
1415,35.099999999999994,35.4
1694,34.99999999999999,35.4
1979,34.89999999999999,35.4
2337,34.69999999999999,35.4
2625,34.59999999999999,35.300000000000004
2913,34.499999999999986,35.300000000000004
3203,34.29999999999998,35.2
3493,34.19999999999998,35.2
3784,34.09999999999998,35.2
4082,33.99999999999998,35.0
4376,33.799999999999976,35.0
4680,33.59999999999997,35.0
4978,33.39999999999997,34.9
5275,33.19999999999997,34.800000000000004
5648,33.099999999999966,34.7
5953,32.999999999999964,34.7
6251,32.89999999999996,34.6
6557,32.79999999999996,34.6
6859,32.69999999999996,34.6
7168,32.49999999999996,34.6
7474,32.299999999999955,34.6
7776,32.19999999999995,34.6
8078,32.09999999999995,34.4
8388,31.99999999999995,34.4
8701,31.799999999999947,34.4
9097,31.699999999999946,34.300000000000004
9407,31.599999999999945,34.300000000000004
9723,31.39999999999994,34.300000000000004
10033,31.29999999999994,34.300000000000004
10350,31.19999999999994,34.300000000000004
10665,30.999999999999936,34.300000000000004
10978,30.899999999999935,34.300000000000004
11291,30.799999999999933,34.300000000000004
11604,30.699999999999932,34.300000000000004
11916,30.49999999999993,34.300000000000004
12232,30.399999999999928,34.300000000000004
12637,30.199999999999925,34.2
12950,30.099999999999923,34.2
13260,29.999999999999922,34.2
13577,29.89999999999992,34.2
13892,29.79999999999992,34.1
14207,29.699999999999918,33.9
14523,29.599999999999916,33.9
14839,29.399999999999913,33.8
15150,29.299999999999912,33.8
15466,29.09999999999991,33.8
15787,28.999999999999908,33.8
16103,28.899999999999906,33.8
16509,28.799999999999905,33.8
16825,28.699999999999903,33.8
17140,28.599999999999902,33.8
17458,28.4999999999999,33.8
17785,28.3999999999999,33.8
18101,28.299999999999898,33.7
18419,28.199999999999896,33.6
18747,28.099999999999895,33.5
19065,27.999999999999893,33.5
19388,27.899999999999892,33.5
19706,27.69999999999989,33.5
20031,27.599999999999888,33.5
20443,27.499999999999886,33.4
20763,27.399999999999885,33.4
21093,27.299999999999883,33.4
21412,27.199999999999882,33.4
21736,27.09999999999988,33.4
22058,26.899999999999878,33.4
22379,26.799999999999876,33.4
22702,26.799999999999876,33.4
23023,26.799999999999876,33.3
23349,26.699999999999875,33.3
23670,26.699999999999875,33.3
23994,26.899999999999878,33.3
24402,26.99999999999988,33.3
24724,27.09999999999988,33.3
25046,27.299999999999883,33.3
25369,27.399999999999885,33.3
25688,27.499999999999886,33.3
26018,27.599999999999888,33.3
26337,27.79999999999989,33.3
26661,27.899999999999892,33.3
26982,27.999999999999893,33.3
27308,28.099999999999895,33.3
27635,28.299999999999898,33.3
27963,28.4999999999999,33.3
28352,28.699999999999903,33.3
28677,28.799999999999905,33.3
29000,28.899999999999906,33.3
29326,28.999999999999908,33.3
29651,29.19999999999991,33.3
29970,29.299999999999912,33.3
30290,29.399999999999913,33.4
30608,29.599999999999916,33.4
30930,29.699999999999918,33.4
31250,29.79999999999992,33.4
31576,29.89999999999992,33.4
31985,29.999999999999922,33.4
32310,30.099999999999923,33.4
32633,30.199999999999925,33.4
32966,30.299999999999926,33.5
33286,30.49999999999993,33.7
33605,30.59999999999993,33.7
33928,30.799999999999933,33.7
34249,30.999999999999936,33.7
34577,31.19999999999994,33.8
34898,31.29999999999994,33.8
35215,31.499999999999943,33.8
35533,31.599999999999945,33.8
35932,31.799999999999947,33.8
36254,31.89999999999995,33.8
36566,32.09999999999995,34.1
36883,32.19999999999995,34.1
37200,32.299999999999955,34.1
37514,32.399999999999956,34.2
37828,32.59999999999996,34.2
38142,32.69999999999996,34.2
38455,32.89999999999996,34.2
38774,32.999999999999964,34.2
39089,33.19999999999997,34.2
39401,33.29999999999997,34.2
39801,33.39999999999997,34.2
40112,33.59999999999997,34.2
40424,33.699999999999974,34.2
40734,33.799999999999976,34.300000000000004
41048,33.99999999999998,34.4
41359,34.09999999999998,34.5
41677,34.29999999999998,34.5
41987,34.399999999999984,34.6
42293,34.499999999999986,34.6
42603,34.59999999999999,34.6
42911,34.79999999999999,34.7
43218,34.89999999999999,34.7
43604,35.099999999999994,35.0
43911,35.199999999999996,35.0
44214,35.3,35.1
44506,35.5,35.2
44794,35.6,35.300000000000004
45100,35.800000000000004,35.300000000000004
45383,36.00000000000001,35.4
45671,36.10000000000001,35.4
45954,36.20000000000001,35.6
46237,36.20000000000001,35.6
46517,36.20000000000001,35.6
46796,36.20000000000001,35.6
